returned,customer_gender,country,customer_segment,product_category,product_subcategory,brand,payment_method,device_type,traffic_source,membership_status,shipping_method,warehouse_region,season,holiday_season,day_of_week,quarter,customer_age,unit_price,quantity,discount_percent,discount_amount,shipping_cost,tax_amount,order_amount,delivery_days,review_rating,customer_lifetime_value,profit_margin_percent,profit_amount,high_value_order,order_year,order_month,order_day,order_dow,return_prediction
0,female,pakistan,returning,home & kitchen,furniture,apex,wallet,mobile,paid ads,standard,standard,south,winter,no,Thursday,1,39,151.41,2,25,75.7,7.57,16.13,250.82,3,3.8,1237.19,11.77,29.52,0,2023,1,5,5,Not Returned
0,female,united kingdom,loyal,fashion,men clothing,zenith,paypal,mobile,referral,standard,standard,south,winter,no,Thursday,1,28,48.35,2,10,9.67,7.95,9.3,104.28,3,4,1954.77,18.25,19.03,0,2023,1,5,5,Not Returned
0,male,uae,loyal,fashion,shoes,freshmart,debit card,mobile,social media,silver,standard,south,winter,no,Thursday,1,50,55.49,1,0,0,5.1,2.01,62.6,5,4.9,1069.84,26.08,16.33,0,2023,1,5,5,Not Returned
0,female,united kingdom,premium,home & kitchen,cookware,trendify,credit card,mobile,email,standard,standard,west,winter,no,Thursday,1,22,126.07,2,40,100.86,7.14,21.64,180.06,2,4.3,4395.03,23.33,42.01,0,2023,1,5,5,Not Returned
0,female,saudi arabia,returning,electronics,laptop,primeplus,wallet,desktop,direct,standard,pickup,central,winter,no,Friday,1,43,323.35,4,25,323.35,10.14,89.46,1069.65,9,3.6,6337.57,25.72,275.11,1,2023,1,6,6,Not Returned
0,female,france,returning,beauty,makeup,quickcart,bank transfer,tablet,paid ads,silver,express,east,winter,no,Friday,1,40,57.98,2,5,5.8,14.25,6.14,130.55,3,4.3,2437.9,29.04,37.91,0,2023,1,6,6,Not Returned
0,male,india,returning,groceries,dairy,zenith,cash on delivery,mobile,referral,standard,pickup,central,winter,no,Friday,1,18,8.95,4,10,3.58,6.55,1.36,40.13,7,4.4,20,4.47,1.79,0,2023,1,6,6,Not Returned
0,female,australia,returning,books,comics,nova,credit card,mobile,referral,standard,express,south,winter,no,Saturday,1,50,10.89,2,0,0,13.63,2.09,37.5,4,3.8,205.83,6.83,2.56,0,2023,1,7,7,Not Returned
0,female,germany,returning,sports,outdoor,freshmart,debit card,tablet,direct,standard,standard,south,winter,no,Saturday,1,22,82.74,3,30,74.47,8.58,21.42,203.75,0,4.9,853.81,16.13,32.86,0,2023,1,7,7,Not Returned
0,female,germany,returning,fashion,men clothing,zenith,paypal,mobile,referral,standard,express,west,winter,no,Saturday,1,31,53.18,1,20,10.64,11.73,4.68,58.95,1,4,526.09,20.27,11.95,0,2023,1,7,7,Not Returned
0,female,united states,new,groceries,dairy,trendify,bank transfer,mobile,social media,gold,express,west,winter,no,Saturday,1,47,16.54,3,20,9.92,10.34,3.29,53.33,3,4.5,938.14,23.07,12.3,0,2023,1,7,7,Not Returned
0,female,united states,new,electronics,laptop,primeplus,paypal,mobile,paid ads,standard,standard,central,winter,no,Sunday,1,34,298.44,4,20,238.75,9.97,76.18,1041.16,8,4.7,7570.47,13.14,136.81,1,2023,1,8,1,Not Returned
0,male,united states,new,home & kitchen,appliances,urbanco,debit card,mobile,paid ads,standard,express,central,winter,no,Sunday,1,18,106.08,2,5,10.61,11.53,14.65,227.73,7,4.1,1736.07,26.58,60.53,0,2023,1,8,1,Not Returned
0,male,france,returning,groceries,dairy,primeplus,credit card,tablet,direct,standard,express,central,winter,no,Sunday,1,40,16.48,1,0,0,12.85,1.65,30.98,2,4.5,248.43,25.59,7.93,0,2023,1,8,1,Not Returned
0,male,france,returning,electronics,headphones,quickcart,bank transfer,mobile,direct,silver,standard,east,winter,no,Monday,1,18,455.81,6,20,546.97,9.16,192.18,2389.23,2,4.5,43241.08,9.7,231.76,1,2023,1,9,2,Not Returned
0,male,united kingdom,loyal,fashion,women clothing,trendify,debit card,mobile,email,platinum,standard,central,winter,no,Monday,1,31,90.37,2,20,36.15,0.02,5.93,150.54,9,4.5,952.28,23.22,34.96,0,2023,1,9,2,Not Returned
0,male,india,premium,fashion,men clothing,urbanco,credit card,mobile,referral,standard,standard,south,winter,no,Monday,1,29,96.87,1,15,14.53,5.03,10.08,97.45,6,2.8,1963.28,30.91,30.12,0,2023,1,9,2,Returned
0,female,canada,loyal,home & kitchen,decor,nova,credit card,desktop,social media,gold,standard,south,winter,no,Tuesday,1,23,169.72,4,5,33.94,3.89,51.69,700.52,3,3.7,4963.72,29.2,204.55,1,2023,1,10,3,Not Returned
0,male,uae,new,groceries,fresh produce,zenith,paypal,desktop,direct,gold,express,central,winter,no,Tuesday,1,74,11.14,1,5,0.56,11.44,0.85,22.87,4,4.3,348.81,16.19,3.7,0,2023,1,10,3,Not Returned
0,female,france,new,groceries,beverages,zenith,paypal,mobile,organic search,standard,standard,north,winter,yes,Tuesday,1,44,24.39,5,0,0,9.56,8.61,140.12,5,3.5,1691.4,6.7,9.39,0,2023,1,10,3,Returned
0,male,uae,loyal,electronics,accessories,urbanco,wallet,mobile,direct,standard,standard,north,winter,no,Tuesday,1,48,1143.16,1,10,114.32,4.39,132.31,1165.54,7,3.3,6499.65,12.61,146.97,1,2023,1,10,3,Returned
0,male,pakistan,returning,beauty,fragrance,primeplus,credit card,mobile,referral,silver,express,north,winter,no,Wednesday,1,54,25.42,2,40,20.34,12.08,2.37,44.95,4,3.7,754.52,29.84,13.41,0,2023,1,11,4,Not Returned
0,male,saudi arabia,returning,fashion,men clothing,freshmart,cash on delivery,desktop,email,silver,standard,east,winter,no,Wednesday,1,30,99.75,2,0,0,6.92,15.83,222.25,8,5,4467.32,31.72,70.5,0,2023,1,11,4,Not Returned
0,female,pakistan,loyal,electronics,mobile,ecolife,credit card,mobile,organic search,standard,express,east,winter,no,Wednesday,1,18,383.77,1,0,0,15.15,12.77,411.69,4,3.4,1317.93,8.95,36.85,1,2023,1,11,4,Returned
0,male,germany,returning,groceries,dairy,zenith,cash on delivery,mobile,organic search,standard,pickup,central,winter,no,Wednesday,1,48,10.31,3,5,1.55,5.83,3.3,38.51,6,5,321.03,18.31,7.05,0,2023,1,11,4,Not Returned
0,male,australia,loyal,groceries,fresh produce,zenith,wallet,mobile,social media,standard,pickup,central,winter,no,Thursday,1,18,8,6,25,12,12.34,5.2,53.54,6,4.2,1025.92,23.14,12.39,0,2023,1,12,5,Not Returned
0,male,australia,premium,toys,action figures,urbanco,bank transfer,desktop,email,standard,same day,south,winter,no,Thursday,1,54,45.58,5,0,0,24.62,12.09,264.61,0,3.9,4327.18,20.25,53.58,0,2023,1,12,5,Not Returned
0,female,australia,returning,electronics,headphones,quickcart,bank transfer,mobile,organic search,standard,standard,west,winter,no,Friday,1,48,372.58,1,20,74.52,0.73,39.18,337.97,6,3.5,5147.29,26.96,91.12,0,2023,1,13,6,Returned
0,female,canada,returning,electronics,mobile,primeplus,wallet,mobile,referral,standard,pickup,south,winter,yes,Saturday,1,38,337.59,2,5,33.76,10.61,51.92,703.95,2,4,8867.26,11.84,83.35,1,2023,1,14,7,Not Returned
0,male,canada,loyal,fashion,shoes,urbanco,credit card,mobile,social media,standard,pickup,east,winter,no,Saturday,1,23,98.82,5,10,49.41,14.58,39.93,499.2,6,5,1951.67,18.38,91.75,1,2023,1,14,7,Not Returned
0,female,france,new,home & kitchen,appliances,freshmart,bank transfer,desktop,social media,standard,express,central,winter,no,Saturday,1,18,190.93,3,0,0,15.05,18.82,606.66,0,4.1,8701.51,30.79,186.79,1,2023,1,14,7,Not Returned
0,male,uae,loyal,electronics,headphones,nova,credit card,mobile,organic search,standard,standard,central,winter,no,Saturday,1,27,231.61,4,0,0,5.73,91.69,1023.86,4,4.2,18052.77,23.32,238.76,1,2023,1,14,7,Not Returned
0,male,saudi arabia,premium,home & kitchen,decor,apex,wallet,mobile,referral,silver,standard,east,winter,no,Saturday,1,35,63.92,3,20,38.35,2.55,21.81,177.77,1,3.5,1871.28,12.5,22.22,0,2023,1,14,7,Returned
0,female,pakistan,returning,sports,equipment,quickcart,debit card,mobile,organic search,standard,pickup,central,winter,no,Saturday,1,22,66.65,2,25,33.33,5.34,9.66,114.97,5,5,1209.97,11.04,12.69,0,2023,1,14,7,Not Returned
0,male,india,new,sports,outdoor,primeplus,bank transfer,mobile,direct,standard,standard,south,winter,no,Saturday,1,34,111.16,2,15,33.35,6,20.39,215.36,3,4.4,3059.66,18.84,40.57,0,2023,1,14,7,Not Returned
0,female,canada,returning,electronics,mobile,ecolife,cash on delivery,tablet,direct,standard,express,central,winter,no,Saturday,1,22,505.58,3,20,303.35,14.14,76.62,1304.15,5,4.1,12031.15,5.88,76.68,1,2023,1,14,7,Not Returned
0,male,pakistan,new,electronics,accessories,trendify,cash on delivery,mobile,referral,silver,pickup,west,winter,no,Saturday,1,26,339.56,5,20,339.56,7.48,151.32,1517.04,6,4.3,14923.46,14.5,219.97,1,2023,1,14,7,Not Returned
0,female,australia,loyal,beauty,skincare,urbanco,credit card,tablet,direct,standard,standard,south,winter,no,Saturday,1,37,74.58,1,0,0,3.47,2.78,80.83,3,4.5,1165.06,29.31,23.69,0,2023,1,14,7,Not Returned
0,male,france,premium,home & kitchen,appliances,quickcart,cash on delivery,mobile,organic search,gold,standard,west,winter,no,Sunday,1,53,155.05,3,40,186.06,3.85,29.65,312.59,3,4.6,5928.84,27.12,84.77,0,2023,1,15,1,Not Returned
0,male,united states,returning,groceries,dairy,valuemax,paypal,mobile,paid ads,standard,standard,central,winter,no,Sunday,1,33,31.05,3,35,32.6,8.61,8.02,77.18,4,3.7,1213.43,23.59,18.21,0,2023,1,15,1,Not Returned
0,male,united states,loyal,groceries,beverages,valuemax,wallet,mobile,referral,standard,standard,central,winter,no,Sunday,1,18,33.57,2,25,16.78,7.45,3.41,61.22,5,4.5,1285.05,27.54,16.86,0,2023,1,15,1,Not Returned
0,female,saudi arabia,returning,home & kitchen,decor,urbanco,paypal,tablet,referral,standard,pickup,central,winter,no,Sunday,1,20,88.37,4,15,53.02,16.21,20.12,336.79,5,5,3599.28,19.87,66.92,0,2023,1,15,1,Not Returned
0,female,united states,new,groceries,snacks,valuemax,wallet,mobile,paid ads,standard,standard,central,winter,no,Monday,1,30,22.67,3,20,13.6,9.21,6.77,70.39,4,3.8,1283.63,13.03,9.17,0,2023,1,16,2,Not Returned
0,female,australia,loyal,groceries,dairy,primeplus,credit card,mobile,social media,silver,express,east,winter,no,Monday,1,38,23.95,1,25,5.99,12.66,1.7,32.32,3,4.2,1382.87,26.74,8.64,0,2023,1,16,2,Not Returned
1,female,france,returning,home & kitchen,appliances,nova,bank transfer,tablet,email,standard,express,east,winter,no,Tuesday,1,35,111.98,4,0,0,16.18,18.09,482.19,0,2.4,7977.66,18.19,87.71,1,2023,1,17,3,Returned
0,female,united kingdom,new,sports,fitness,primeplus,credit card,mobile,direct,silver,express,west,winter,no,Tuesday,1,36,61.07,4,15,36.64,15.05,24.34,247.03,4,3.4,4427.46,28.74,71,0,2023,1,17,3,Returned
0,male,germany,returning,sports,equipment,quickcart,bank transfer,desktop,paid ads,silver,express,north,winter,no,Tuesday,1,50,50.09,3,35,52.59,14.58,6.43,118.69,1,4.3,588.45,26.53,31.49,0,2023,1,17,3,Not Returned
0,male,australia,loyal,groceries,snacks,apex,cash on delivery,desktop,social media,standard,standard,east,winter,yes,Wednesday,1,38,12.07,6,20,14.48,9.8,5.23,72.97,3,4.5,1845.89,11.31,8.25,0,2023,1,18,4,Not Returned
0,male,canada,returning,fashion,bags,quickcart,credit card,mobile,paid ads,standard,express,central,winter,no,Wednesday,1,38,46.21,1,0,0,10.93,2.01,59.15,1,4.5,862.07,26.07,15.42,0,2023,1,18,4,Not Returned
0,male,united kingdom,returning,home & kitchen,decor,nova,credit card,mobile,email,standard,express,central,winter,no,Wednesday,1,54,78.92,4,20,63.14,17.25,18.85,288.64,4,4.2,4820.44,12.25,35.36,0,2023,1,18,4,Not Returned
0,female,united kingdom,loyal,home & kitchen,cookware,primeplus,wallet,mobile,social media,gold,express,west,winter,no,Wednesday,1,47,136.84,5,30,205.26,14.7,72.79,566.43,0,4.7,3075.88,3,16.99,1,2023,1,18,4,Not Returned
0,female,pakistan,returning,beauty,makeup,urbanco,credit card,tablet,email,silver,standard,north,winter,no,Wednesday,1,18,52.38,4,25,52.38,10.7,14,181.84,8,4.5,2991.04,25.76,46.84,0,2023,1,18,4,Not Returned
0,male,canada,loyal,electronics,headphones,ecolife,paypal,desktop,organic search,silver,standard,central,winter,yes,Thursday,1,23,872.12,2,0,0,7.49,103.58,1855.31,7,4.8,9417.11,32.05,594.63,1,2023,1,19,5,Not Returned
0,female,france,loyal,fashion,women clothing,ecolife,credit card,mobile,direct,standard,standard,east,winter,no,Thursday,1,58,45.45,6,10,27.27,7.72,21.05,274.2,2,3.7,2101.96,29.5,80.89,0,2023,1,19,5,Not Returned
0,male,france,premium,electronics,headphones,apex,cash on delivery,mobile,social media,standard,standard,north,winter,no,Friday,1,42,431.56,5,35,755.23,13.34,253.31,1669.22,6,4.2,33600.95,19.02,317.49,1,2023,1,20,6,Not Returned
0,male,germany,new,fashion,shoes,freshmart,cash on delivery,mobile,organic search,silver,standard,central,winter,no,Friday,1,34,50.78,3,10,15.23,6.96,13.61,157.68,7,4,2993.57,18.62,29.36,0,2023,1,20,6,Not Returned
0,female,canada,new,groceries,snacks,zenith,cash on delivery,tablet,social media,silver,express,south,winter,no,Saturday,1,47,20.9,5,5,5.22,17.52,5.23,122.03,5,5,967.06,23.49,28.66,0,2023,1,21,7,Not Returned
0,male,france,returning,fashion,shoes,nova,debit card,mobile,email,silver,standard,east,winter,no,Saturday,1,40,75.78,2,25,37.89,4.58,13.25,131.5,7,5,1083.21,16.59,21.82,0,2023,1,21,7,Not Returned
0,female,germany,returning,fashion,men clothing,ecolife,wallet,mobile,paid ads,gold,same day,central,winter,no,Sunday,1,18,69.55,3,20,41.73,19.69,16.11,202.72,3,4.2,2653.69,33.35,67.61,0,2023,1,22,1,Not Returned
0,male,canada,returning,electronics,accessories,nova,credit card,mobile,email,silver,same day,north,winter,no,Sunday,1,46,700.83,2,0,0,20.31,162.96,1584.93,0,3,19476.6,22.5,356.61,1,2023,1,22,1,Returned
0,male,uae,premium,groceries,beverages,primeplus,paypal,mobile,social media,standard,standard,south,winter,no,Sunday,1,24,26.4,8,0,0,14.26,14.34,239.8,3,4.7,3969.54,23.97,57.48,0,2023,1,22,1,Not Returned
0,male,united kingdom,returning,groceries,beverages,freshmart,cash on delivery,mobile,organic search,silver,express,west,winter,no,Sunday,1,18,28.98,4,15,17.39,17.62,6.06,122.21,3,4.4,1529.38,37.4,45.71,0,2023,1,22,1,Not Returned
1,male,australia,returning,home & kitchen,appliances,urbanco,cash on delivery,mobile,direct,gold,same day,east,winter,no,Sunday,1,38,152.83,1,0,0,24.35,17.15,194.33,1,2.4,1896.08,23.27,45.22,0,2023,1,22,1,Returned
0,male,united kingdom,returning,home & kitchen,decor,quickcart,debit card,desktop,social media,standard,pickup,north,winter,no,Monday,1,45,246.43,3,0,0,5.56,33.55,778.4,5,4.9,3635.43,25.8,200.83,1,2023,1,23,2,Not Returned
0,female,uae,premium,sports,outdoor,ecolife,cash on delivery,mobile,email,platinum,standard,east,winter,no,Tuesday,1,37,49.25,3,20,29.55,0.93,10.55,129.68,4,4.8,1954.63,21.31,27.63,0,2023,1,24,3,Not Returned
0,other,uae,new,groceries,dairy,trendify,cash on delivery,mobile,email,standard,express,north,winter,no,Tuesday,1,25,9.21,3,20,5.53,13.56,1.63,37.29,0,3.9,675.78,18.8,7.01,0,2023,1,24,3,Not Returned
0,male,india,returning,sports,fitness,nova,credit card,mobile,referral,silver,standard,north,winter,no,Tuesday,1,41,114.38,4,15,68.63,11.36,41.02,441.27,1,3.4,8088.55,17.62,77.75,1,2023,1,24,3,Returned
0,male,canada,new,electronics,laptop,freshmart,paypal,mobile,referral,platinum,express,central,winter,no,Wednesday,1,43,703.13,3,0,0,7.44,74.2,2191.03,3,2.9,10116.32,40.15,879.7,1,2023,1,25,4,Returned
0,female,germany,returning,sports,equipment,zenith,debit card,mobile,direct,gold,standard,west,winter,no,Wednesday,1,28,45.79,1,15,6.87,0.89,4.27,44.08,5,4.7,403.06,20.52,9.05,0,2023,1,25,4,Not Returned
0,male,australia,loyal,toys,puzzles,nova,debit card,tablet,social media,platinum,standard,south,winter,no,Wednesday,1,63,24.3,6,20,29.16,6.15,14.28,137.07,5,3.6,1409.92,23.25,31.87,0,2023,1,25,4,Not Returned
0,male,germany,new,fashion,bags,valuemax,cash on delivery,mobile,referral,standard,standard,west,winter,no,Wednesday,1,36,28.15,3,20,16.89,10.1,4.09,81.75,7,5,1013.86,22.82,18.66,0,2023,1,25,4,Not Returned
0,male,united kingdom,new,fashion,women clothing,primeplus,debit card,mobile,social media,gold,standard,south,winter,no,Thursday,1,34,74.35,2,25,37.17,1.46,14.38,127.37,7,2.5,1318.61,30.1,38.34,0,2023,1,26,5,Returned
0,female,germany,new,electronics,headphones,urbanco,debit card,mobile,organic search,silver,express,west,winter,no,Thursday,1,29,899,4,20,719.2,18.28,151.5,3046.58,0,4.4,38152.52,16.12,491.11,1,2023,1,26,5,Not Returned
0,female,australia,returning,groceries,snacks,zenith,paypal,mobile,email,standard,standard,north,winter,no,Thursday,1,26,43.41,3,10,13.02,8.36,14.69,140.26,5,3.4,1135.24,16.02,22.47,0,2023,1,26,5,Returned
0,male,united states,new,books,comics,freshmart,debit card,mobile,social media,platinum,same day,north,winter,no,Thursday,1,60,16.88,2,0,0,18.71,1.69,54.16,0,4.1,765.13,25.68,13.91,0,2023,1,26,5,Not Returned
0,female,uae,returning,fashion,men clothing,freshmart,cash on delivery,desktop,social media,standard,standard,east,winter,no,Friday,1,42,73.02,3,0,0,6.53,20.75,246.34,6,4.1,1386.61,31.29,77.08,0,2023,1,27,6,Not Returned
0,male,canada,premium,groceries,fresh produce,nova,cash on delivery,mobile,referral,platinum,express,north,winter,no,Friday,1,36,19.51,1,20,3.9,4.95,1.99,22.55,6,3.6,1593.75,11.12,2.51,0,2023,1,27,6,Not Returned
0,male,canada,new,fashion,shoes,primeplus,paypal,mobile,organic search,silver,standard,central,winter,no,Friday,1,18,73.48,2,30,44.09,5.71,14.57,123.15,3,5,603.51,31.35,38.61,0,2023,1,27,6,Not Returned
1,male,australia,loyal,toys,action figures,ecolife,wallet,desktop,organic search,gold,same day,east,winter,no,Saturday,1,37,45.09,4,5,9.02,21.39,13.87,206.6,0,3.4,3197.09,22.19,45.84,0,2023,1,28,7,Returned
1,female,pakistan,returning,fashion,bags,urbanco,credit card,mobile,social media,standard,standard,north,winter,no,Sunday,1,40,41.54,4,0,0,8.18,13.74,188.08,0,3.4,1959.51,34.51,64.91,0,2023,1,29,1,Returned
0,male,uae,new,groceries,snacks,nova,wallet,mobile,direct,gold,express,central,winter,no,Sunday,1,48,27.41,5,10,13.7,15.06,5.43,143.84,8,4.8,1746.93,29.06,41.8,0,2023,1,29,1,Not Returned
0,male,pakistan,premium,sports,fitness,valuemax,wallet,mobile,social media,gold,express,east,winter,no,Monday,1,53,55.38,2,25,27.69,9.53,13.01,105.61,5,4.4,2764.66,8.25,8.71,0,2023,1,30,2,Not Returned
0,female,uae,returning,electronics,laptop,zenith,wallet,mobile,email,standard,standard,north,winter,no,Monday,1,23,484.42,4,15,290.65,7.9,208.55,1863.48,3,5,32381.59,16.99,316.61,1,2023,1,30,2,Not Returned
0,female,united kingdom,returning,electronics,headphones,primeplus,cash on delivery,mobile,paid ads,standard,standard,north,winter,no,Monday,1,46,474.97,4,0,0,10.79,65.09,1975.76,5,4.8,22447.55,21.1,416.89,1,2023,1,30,2,Not Returned
0,female,canada,loyal,books,education,quickcart,debit card,mobile,paid ads,standard,standard,south,winter,no,Tuesday,1,40,37.26,2,25,18.63,7.84,7.52,71.25,8,4.4,981.54,9.72,6.93,0,2023,1,31,3,Not Returned
0,male,australia,loyal,toys,board games,ecolife,credit card,mobile,organic search,standard,standard,west,winter,no,Tuesday,1,18,53,2,0,0,6.21,12.12,124.33,5,4.1,1861.52,23.56,29.29,0,2023,1,31,3,Not Returned
0,female,uae,premium,home & kitchen,furniture,trendify,credit card,mobile,organic search,silver,pickup,west,winter,no,Tuesday,1,31,114.48,3,30,103.03,8.1,24.25,272.76,5,4.2,3349.71,17.32,47.24,0,2023,1,31,3,Not Returned
0,female,united states,new,electronics,mobile,valuemax,wallet,desktop,organic search,silver,standard,east,winter,no,Wednesday,1,42,665.04,2,0,0,6.71,158.45,1495.24,6,5,15719.92,13.76,205.75,1,2023,2,1,4,Not Returned
1,male,united kingdom,loyal,beauty,haircare,nova,cash on delivery,mobile,social media,standard,standard,west,winter,no,Thursday,1,50,34.04,2,15,10.21,8.4,4.94,71.21,2,2.7,1180.7,21.1,15.03,0,2023,2,2,5,Returned
0,male,germany,returning,electronics,headphones,nova,credit card,mobile,direct,standard,standard,central,winter,no,Thursday,1,29,662.56,3,5,99.38,6.07,184.35,2078.72,3,4.4,24954.48,25.26,525.08,1,2023,2,2,5,Not Returned
1,male,germany,new,electronics,mobile,nova,credit card,mobile,referral,gold,pickup,west,winter,yes,Friday,1,49,413.14,2,30,247.88,0.65,33.4,612.45,4,3,8699.92,10.88,66.63,1,2023,2,3,6,Returned
0,female,pakistan,loyal,books,non-fiction,trendify,cash on delivery,mobile,direct,gold,express,central,winter,no,Friday,1,26,28.08,7,5,9.83,18.73,22.43,227.89,1,5,5332.52,22.9,52.19,0,2023,2,3,6,Not Returned
0,female,australia,returning,toys,board games,zenith,bank transfer,mobile,referral,standard,express,south,winter,no,Friday,1,45,27.59,3,0,0,17.15,4.81,104.73,8,4.4,975.85,29.41,30.8,0,2023,2,3,6,Not Returned
1,female,pakistan,loyal,electronics,laptop,urbanco,bank transfer,mobile,organic search,standard,pickup,south,winter,no,Friday,1,31,1130.55,4,15,678.33,8.18,281.27,4133.32,8,3,50000,14.58,602.64,1,2023,2,3,6,Returned
0,female,canada,new,toys,puzzles,quickcart,debit card,mobile,direct,standard,express,south,winter,no,Friday,1,48,26.98,4,15,16.19,15.41,12.11,119.25,0,4.9,1219,14.27,17.02,0,2023,2,3,6,Not Returned
0,female,canada,premium,home & kitchen,decor,trendify,cash on delivery,mobile,referral,silver,standard,west,winter,no,Saturday,1,31,160.62,5,10,80.31,11.45,76.58,810.82,5,4.1,4348.88,19.03,154.3,1,2023,2,4,7,Not Returned
0,male,canada,returning,fashion,shoes,urbanco,debit card,desktop,social media,silver,same day,central,winter,no,Saturday,1,57,79.47,3,0,0,20.66,19.42,278.49,3,3.7,3335,22.17,61.74,0,2023,2,4,7,Not Returned
0,female,germany,returning,toys,action figures,primeplus,debit card,mobile,social media,standard,standard,west,winter,no,Saturday,1,39,21.4,1,25,5.35,5.49,1.61,23.15,7,2.9,120.76,23.16,5.36,0,2023,2,4,7,Returned
0,male,pakistan,new,electronics,headphones,trendify,paypal,mobile,organic search,gold,standard,west,winter,yes,Saturday,1,44,538.95,7,15,565.9,6.77,222.83,3436.35,6,4.4,17083.88,3,103.09,1,2023,2,4,7,Not Returned
0,male,germany,returning,electronics,laptop,trendify,bank transfer,desktop,email,standard,pickup,central,winter,no,Monday,1,26,261.33,1,5,13.07,6.05,26.37,280.68,9,3.7,2475.84,12.13,34.05,0,2023,2,6,2,Not Returned
0,female,saudi arabia,returning,electronics,mobile,nova,paypal,mobile,email,gold,express,east,winter,no,Tuesday,1,36,517.05,3,10,155.11,13.99,116.15,1526.18,6,3.4,22698.85,24.73,377.42,1,2023,2,7,3,Returned
0,female,saudi arabia,returning,electronics,laptop,valuemax,wallet,mobile,organic search,standard,standard,west,winter,no,Tuesday,1,43,755,6,15,679.5,13.81,387.19,4251.5,7,5,27701.32,18.31,778.45,1,2023,2,7,3,Not Returned
0,male,united kingdom,new,home & kitchen,appliances,freshmart,bank transfer,mobile,direct,standard,express,central,winter,no,Tuesday,1,24,293.57,2,25,146.78,11.75,56.08,508.19,2,4.4,7305.76,28.58,145.24,1,2023,2,7,3,Not Returned
0,male,germany,loyal,fashion,bags,trendify,paypal,mobile,referral,gold,standard,west,winter,yes,Wednesday,1,46,38.57,3,0,0,1.18,8.23,125.12,10,2.6,1672.01,24.22,30.3,0,2023,2,8,4,Returned
0,other,germany,loyal,toys,board games,quickcart,cash on delivery,mobile,paid ads,gold,standard,central,winter,no,Wednesday,1,44,21.07,5,10,10.54,9.25,9.82,113.88,6,3.9,1840.47,15.02,17.1,0,2023,2,8,4,Not Returned
0,male,pakistan,new,fashion,shoes,quickcart,debit card,desktop,organic search,gold,standard,west,winter,no,Wednesday,1,40,105.14,4,10,42.06,2.65,47.42,428.57,5,3.2,1810.35,26.2,112.29,1,2023,2,8,4,Returned
0,male,india,returning,electronics,headphones,apex,bank transfer,mobile,paid ads,silver,standard,south,winter,no,Thursday,1,19,756.56,1,35,264.8,7.91,64.69,564.36,8,4.4,9646.7,16.56,93.46,1,2023,2,9,5,Not Returned
