Order_Date,Year,Month,Day,Day_Of_Week,Quarter,Customer_Age,Customer_Gender,Country,City,Customer_Segment,Product_Category,Product_Subcategory,Brand,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Coupon_Used,Shipping_Cost,Tax_Amount,Order_Amount,Payment_Method,Device_Type,Traffic_Source,Membership_Status,Shipping_Method,Warehouse_Region,Delivery_Days,Order_Status,Returned,Review_Rating,Customer_Lifetime_Value,Profit_Margin_Percent,Profit_Amount,Season,Holiday_Season,High_Value_Order,prediction
2024-05-05,2024,5,5,Sunday,2,44,Male,United States,Toronto,Returning,Fashion,Bags,Apex,82.28,3,10,24.68,Yes,6.56,12.91,241.63,PayPal,Desktop,Direct,Standard,Standard,South,6,Delivered,No,4.5,3709.84,12.23,29.55,Spring,No,No,No
2024-05-06,2024,5,6,Monday,2,50,Female,United States,Toronto,New,Fashion,Shoes,Trendify,62.91,3,20,37.75,Yes,8.95,12.44,172.37,Credit Card,Mobile,Organic Search,Standard,Standard,North,5,Returned,Yes,2.7,3020.18,24.34,41.95,Spring,No,No,No
2024-05-06,2024,5,6,Monday,2,31,Female,Canada,Karachi,New,Groceries,Fresh Produce,UrbanCo,31.74,2,20,12.7,Yes,14.79,5.81,71.38,Cash on Delivery,Mobile,Referral,Standard,Express,North,2,Delivered,No,3.6,821.87,31.4,22.41,Spring,No,No,No
2024-05-06,2024,5,6,Monday,2,18,Male,Pakistan,Dubai,Loyal,Electronics,Laptop,Trendify,284.86,5,15,213.65,Yes,17.5,52.07,1280.22,Credit Card,Mobile,Social Media,Standard,Express,East,3,Delivered,No,4.3,4272.31,20.62,263.98,Spring,No,Yes,Yes
2024-05-06,2024,5,6,Monday,2,36,Male,Saudi Arabia,London,Returning,Home & Kitchen,Decor,UrbanCo,108.42,4,0,0,No,16.97,34.53,485.18,Bank Transfer,Mobile,Email,Standard,Express,West,2,Delivered,No,4.1,3444.51,38.87,188.59,Spring,Yes,Yes,Yes
2024-05-06,2024,5,6,Monday,2,18,Male,Australia,London,Returning,Groceries,Beverages,EcoLife,27.85,5,5,6.96,No,11.31,9.63,153.23,Wallet,Mobile,Paid Ads,Gold,Express,Central,3,Delivered,No,3.6,1193.35,27.96,42.84,Spring,No,No,No
2024-05-07,2024,5,7,Tuesday,2,30,Male,Pakistan,Riyadh,New,Groceries,Dairy,Zenith,21.65,4,25,21.65,Yes,18.92,9.07,92.94,Bank Transfer,Mobile,Direct,Platinum,Same Day,West,2,Shipped,No,5,891.67,20.89,19.42,Spring,No,No,No
2024-05-07,2024,5,7,Tuesday,2,40,Male,Saudi Arabia,Paris,New,Fashion,Shoes,QuickCart,55.28,4,35,77.39,Yes,12.83,11.23,167.79,Wallet,Mobile,Paid Ads,Platinum,Express,East,5,Delivered,No,3.9,913.12,24.57,41.23,Spring,No,No,No
2024-05-07,2024,5,7,Tuesday,2,52,Female,Australia,Toronto,Loyal,Fashion,Shoes,Zenith,75.39,1,20,15.08,Yes,4.75,7.47,72.53,Bank Transfer,Mobile,Referral,Silver,Standard,West,3,Delivered,No,4.8,2205.14,21.04,15.26,Spring,No,No,No
2024-05-07,2024,5,7,Tuesday,2,32,Male,Saudi Arabia,Sydney,New,Electronics,Mobile,PrimePlus,640.68,5,0,0,No,9.67,197.85,3410.92,Cash on Delivery,Mobile,Social Media,Standard,Standard,North,7,Shipped,No,3.5,50000,16.42,560.07,Spring,No,Yes,Yes
2024-05-08,2024,5,8,Wednesday,2,25,Female,UAE,Karachi,Returning,Electronics,Accessories,Zenith,411.29,3,15,185.08,Yes,9.32,112.51,1170.62,Bank Transfer,Desktop,Referral,Standard,Standard,West,6,Delivered,No,3,18814.67,16.27,190.46,Spring,No,Yes,Yes
2024-05-08,2024,5,8,Wednesday,2,39,Female,United Kingdom,Karachi,Returning,Toys,Action Figures,QuickCart,35.48,2,15,10.64,Yes,7.7,5.5,73.52,Wallet,Desktop,Social Media,Standard,Standard,East,5,Cancelled,No,3.9,1306.22,9.48,6.97,Spring,Yes,No,No
2024-05-09,2024,5,9,Thursday,2,25,Male,Canada,Mumbai,Premium,Fashion,Women Clothing,FreshMart,91.48,6,40,219.55,Yes,20.17,49.1,398.6,Cash on Delivery,Mobile,Paid Ads,Standard,Express,North,3,Delivered,No,5,6852.03,3,11.96,Spring,No,Yes,No
2024-05-09,2024,5,9,Thursday,2,26,Female,Germany,New York,Returning,Sports,Sportswear,Nova,93.86,3,0,0,No,3.32,24.18,309.08,Credit Card,Mobile,Direct,Silver,Standard,Central,6,Delivered,No,3.2,2190.52,35.71,110.37,Spring,No,No,No
2024-05-09,2024,5,9,Thursday,2,20,Male,Saudi Arabia,Toronto,Loyal,Beauty,Haircare,FreshMart,29.36,2,5,2.94,Yes,6.52,3.21,65.51,Debit Card,Mobile,Paid Ads,Standard,Standard,South,7,Delivered,No,3.8,1345.48,38.31,25.1,Spring,No,No,No
2024-05-09,2024,5,9,Thursday,2,18,Female,Germany,Toronto,New,Fashion,Shoes,Apex,56.72,5,35,99.26,Yes,9.26,12.08,205.68,PayPal,Mobile,Paid Ads,Standard,Standard,Central,3,Delivered,No,3.8,2133.7,12.58,25.87,Spring,No,No,No
2024-05-10,2024,5,10,Friday,2,47,Male,India,Dubai,Returning,Sports,Sportswear,Zenith,77.94,4,30,93.53,Yes,13.12,26.83,258.18,Credit Card,Mobile,Organic Search,Silver,Express,Central,1,Delivered,No,4.2,1020.94,23.65,61.06,Spring,Yes,No,No
2024-05-10,2024,5,10,Friday,2,41,Male,India,Toronto,Returning,Fashion,Men Clothing,Zenith,103.61,1,35,36.26,Yes,7.58,10.21,85.14,Bank Transfer,Mobile,Paid Ads,Standard,Standard,East,7,Delivered,No,4.6,748.3,34.96,29.76,Spring,No,No,No
2024-05-10,2024,5,10,Friday,2,38,Female,UAE,Dubai,New,Groceries,Dairy,PrimePlus,14.91,6,20,17.89,Yes,12.91,10.27,94.75,Wallet,Desktop,Organic Search,Standard,Standard,West,7,Shipped,No,4.3,637.84,30.92,29.3,Spring,No,No,No
2024-05-10,2024,5,10,Friday,2,36,Male,United Kingdom,Sydney,Returning,Home & Kitchen,Decor,ValueMax,104.21,4,20,83.37,Yes,24.42,15.75,373.64,Wallet,Mobile,Email,Standard,Same Day,East,4,Processing,No,5,3359.22,10.26,38.34,Spring,No,No,No
2024-05-10,2024,5,10,Friday,2,38,Male,United States,Paris,Returning,Electronics,Mobile,PrimePlus,329.3,2,5,32.93,No,3.1,20.16,648.93,Debit Card,Mobile,Direct,Gold,Standard,South,4,Delivered,No,4.4,1655.85,16.54,107.33,Spring,No,Yes,Yes
2024-05-10,2024,5,10,Friday,2,23,Male,United States,Karachi,Premium,Groceries,Fresh Produce,UrbanCo,12.86,2,15,3.86,Yes,4.34,1.26,27.46,PayPal,Tablet,Direct,Standard,Standard,East,5,Delivered,No,5,1786.21,22.61,6.21,Spring,No,No,No
2024-05-11,2024,5,11,Saturday,2,24,Male,United States,Paris,Loyal,Groceries,Beverages,PrimePlus,35.7,3,20,21.42,Yes,7.4,8.07,101.15,Credit Card,Mobile,Paid Ads,Standard,Standard,East,8,Delivered,No,3.8,2104.83,19.37,19.59,Spring,No,No,No
2024-05-11,2024,5,11,Saturday,2,23,Male,Canada,Mumbai,Returning,Beauty,Skincare,FreshMart,15.26,2,10,3.05,Yes,10.27,1.22,38.96,Bank Transfer,Desktop,Paid Ads,Platinum,Express,Central,1,Delivered,No,4.8,256.65,25.61,9.98,Spring,No,No,No
2024-05-12,2024,5,12,Sunday,2,33,Male,United States,Dubai,Loyal,Fashion,Bags,Trendify,60.01,2,0,0,No,11.46,8.2,139.68,Bank Transfer,Mobile,Social Media,Standard,Express,North,1,Shipped,No,4.3,3715.05,39.4,55.03,Spring,Yes,No,No
2024-05-12,2024,5,12,Sunday,2,37,Female,Pakistan,Dubai,Returning,Beauty,Skincare,EcoLife,43.15,3,0,0,No,15.92,12.51,157.88,Debit Card,Mobile,Organic Search,Silver,Express,East,2,Delivered,No,4.7,1901.47,26.69,42.14,Spring,No,No,No
2024-05-12,2024,5,12,Sunday,2,43,Male,United Kingdom,Toronto,New,Beauty,Haircare,UrbanCo,21.25,5,0,0,No,19.64,6.37,132.26,Bank Transfer,Tablet,Direct,Standard,Express,East,3,Delivered,No,4.1,2032.1,27.57,36.46,Spring,No,No,No
2024-05-13,2024,5,13,Monday,2,55,Male,UAE,Berlin,Returning,Electronics,Accessories,PrimePlus,454.38,5,0,0,Yes,6.36,259.02,2537.28,Bank Transfer,Mobile,Direct,Standard,Standard,West,2,Delivered,No,4.2,45914.14,5.2,131.94,Spring,No,Yes,Yes
2024-05-13,2024,5,13,Monday,2,37,Female,UAE,Karachi,Loyal,Fashion,Bags,Nova,144.11,7,10,100.88,Yes,11.09,70.22,989.2,Wallet,Tablet,Social Media,Silver,Pickup,South,4,Delivered,No,3.7,9753.02,31.39,310.51,Spring,No,Yes,No
2024-05-13,2024,5,13,Monday,2,39,Male,India,London,Returning,Sports,Equipment,PrimePlus,149.23,6,10,89.54,Yes,9.93,30.15,845.92,Debit Card,Desktop,Organic Search,Silver,Standard,Central,5,Delivered,No,4.8,2466.99,17.65,149.3,Spring,No,Yes,No
2024-05-14,2024,5,14,Tuesday,2,25,Male,France,Toronto,Loyal,Home & Kitchen,Furniture,UrbanCo,186.37,4,20,149.1,Yes,8.53,57.7,662.61,PayPal,Desktop,Organic Search,Silver,Standard,Central,3,Returned,Yes,3.1,4165.48,12.66,83.89,Spring,No,Yes,Yes
2024-05-15,2024,5,15,Wednesday,2,35,Female,UAE,London,New,Electronics,Mobile,EcoLife,189.77,2,0,0,No,15.47,25.71,420.72,Cash on Delivery,Desktop,Referral,Silver,Express,North,0,Delivered,No,4.7,4279.42,15.1,63.53,Spring,No,Yes,Yes
2024-05-15,2024,5,15,Wednesday,2,30,Male,Pakistan,New York,Returning,Beauty,Skincare,ValueMax,64.09,3,10,19.23,Yes,2.87,11.89,187.8,Cash on Delivery,Desktop,Organic Search,Gold,Standard,North,5,Processing,No,4.5,805.97,42.63,80.06,Spring,No,No,No
2024-05-15,2024,5,15,Wednesday,2,46,Female,India,Mumbai,Premium,Fashion,Bags,PrimePlus,42.66,3,5,6.4,No,10.07,12.83,144.48,PayPal,Mobile,Social Media,Standard,Standard,Central,6,Delivered,No,3.7,2381.67,15.4,22.25,Spring,No,No,No
2024-05-15,2024,5,15,Wednesday,2,39,Male,India,Paris,Returning,Books,Comics,Zenith,32.76,4,10,13.1,Yes,17.22,5.32,140.48,PayPal,Mobile,Referral,Standard,Express,Central,4,Delivered,No,5,886.39,30.62,43.01,Spring,No,No,No
2024-05-15,2024,5,15,Wednesday,2,49,Female,Saudi Arabia,Toronto,New,Groceries,Dairy,ValueMax,15.33,2,0,0,No,13.01,3.09,46.76,Bank Transfer,Tablet,Email,Standard,Express,South,4,Delivered,No,3.4,291.51,32.87,15.37,Spring,No,No,No
2024-05-15,2024,5,15,Wednesday,2,57,Female,India,Paris,Returning,Electronics,Mobile,FreshMart,160.39,2,35,112.27,Yes,8.18,13.26,229.95,PayPal,Mobile,Paid Ads,Standard,Standard,East,7,Delivered,No,4.2,1734.21,11.2,25.75,Spring,No,No,No
2024-05-16,2024,5,16,Thursday,2,28,Female,United States,Karachi,Loyal,Sports,Sportswear,Apex,152.95,2,5,15.3,No,6.52,33.53,330.65,Wallet,Mobile,Email,Silver,Standard,South,1,Delivered,No,3.6,2476.92,26.68,88.22,Spring,No,No,No
2024-05-16,2024,5,16,Thursday,2,50,Male,Saudi Arabia,Karachi,Returning,Beauty,Skincare,Trendify,36.39,3,5,5.46,No,6.33,4.37,114.41,Debit Card,Mobile,Organic Search,Standard,Standard,South,5,Delivered,No,4.7,856.98,23.72,27.14,Spring,No,No,No
2024-05-16,2024,5,16,Thursday,2,43,Male,United Kingdom,Riyadh,Returning,Books,Fiction,Nova,34.38,5,15,25.78,Yes,10.02,15.91,172.05,Wallet,Desktop,Social Media,Silver,Pickup,North,6,Delivered,No,4.6,992.67,18.84,32.41,Spring,No,No,No
2024-05-17,2024,5,17,Friday,2,27,Male,India,Karachi,Returning,Electronics,Laptop,Nova,414.76,2,30,248.86,Yes,14.85,53.54,649.05,Wallet,Desktop,Paid Ads,Gold,Same Day,South,0,Returned,Yes,2.8,12948.21,16.27,105.6,Spring,No,Yes,Yes
2024-05-17,2024,5,17,Friday,2,25,Female,Canada,Mumbai,Returning,Fashion,Shoes,QuickCart,96.39,7,10,67.47,Yes,9.51,73.24,690.01,PayPal,Mobile,Referral,Standard,Standard,East,3,Shipped,No,4.7,7596.76,32.75,225.98,Spring,No,Yes,No
2024-05-17,2024,5,17,Friday,2,32,Male,Canada,Riyadh,Loyal,Home & Kitchen,Appliances,PrimePlus,308.64,5,15,231.48,Yes,16.87,46.77,1375.36,Credit Card,Desktop,Paid Ads,Silver,Express,West,3,Delivered,No,5,4113.95,5.98,82.25,Spring,No,Yes,Yes
2024-05-18,2024,5,18,Saturday,2,60,Male,India,Paris,Returning,Sports,Equipment,UrbanCo,88.64,1,15,13.3,Yes,6.81,6.79,88.94,Bank Transfer,Mobile,Direct,Standard,Standard,East,5,Delivered,No,5,1290.78,15.93,14.17,Spring,No,No,No
2024-05-18,2024,5,18,Saturday,2,43,Male,Germany,Riyadh,New,Toys,Action Figures,EcoLife,97.34,7,10,68.14,Yes,5.49,63.4,682.13,PayPal,Mobile,Social Media,Standard,Standard,North,5,Delivered,No,3.3,11082.08,12.73,86.84,Spring,No,Yes,No
2024-05-18,2024,5,18,Saturday,2,35,Female,UAE,New York,Loyal,Fashion,Women Clothing,EcoLife,102.61,1,10,10.26,Yes,0.36,11.26,103.97,Debit Card,Mobile,Referral,Gold,Standard,West,6,Delivered,No,4.9,1924.17,28.29,29.41,Spring,No,No,No
2024-05-18,2024,5,18,Saturday,2,38,Female,Germany,London,Premium,Toys,Board Games,PrimePlus,25.08,2,0,0,No,20.85,4.98,75.99,Credit Card,Desktop,Paid Ads,Standard,Same Day,North,0,Delivered,No,4.8,2216.71,32.4,24.62,Spring,No,No,No
2024-05-18,2024,5,18,Saturday,2,34,Female,Australia,Riyadh,Returning,Toys,Educational,EcoLife,42.68,5,20,42.68,Yes,16.54,17.56,204.82,Cash on Delivery,Mobile,Paid Ads,Standard,Express,East,0,Processing,No,4.6,1456.71,20.62,42.23,Spring,No,No,No
2024-05-19,2024,5,19,Sunday,2,33,Male,Germany,Dubai,New,Home & Kitchen,Cookware,PrimePlus,110.15,4,15,66.09,Yes,7.27,21.24,403.02,Debit Card,Desktop,Email,Standard,Standard,West,4,Cancelled,No,3.5,5968.64,23.89,96.28,Spring,No,Yes,Yes
2024-05-19,2024,5,19,Sunday,2,29,Female,United States,Riyadh,Loyal,Fashion,Women Clothing,Trendify,85.58,4,30,102.7,Yes,9.23,16.76,265.61,Debit Card,Mobile,Social Media,Standard,Standard,Central,4,Delivered,No,4.6,2041.43,19.09,50.7,Spring,No,No,No
2024-05-19,2024,5,19,Sunday,2,34,Female,United States,Mumbai,Returning,Toys,Puzzles,Apex,43.53,2,15,13.06,Yes,5.4,5.77,85.17,Cash on Delivery,Mobile,Organic Search,Standard,Standard,East,6,Delivered,No,4,1000.19,10.82,9.22,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,39,Female,Germany,Berlin,Returning,Groceries,Fresh Produce,Apex,12.07,1,15,1.81,Yes,0.2,0.93,11.39,PayPal,Mobile,Organic Search,Platinum,Standard,West,5,Shipped,No,3.4,108.07,9.93,1.13,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,40,Female,Pakistan,London,Returning,Fashion,Men Clothing,Nova,86.58,3,0,0,No,8.29,12.79,280.82,Wallet,Mobile,Referral,Standard,Pickup,West,7,Cancelled,No,5,1959.55,26.86,75.43,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,47,Male,United States,New York,Returning,Books,Comics,Trendify,26.65,4,15,15.99,Yes,10.08,3.69,104.38,Debit Card,Mobile,Organic Search,Silver,Standard,Central,3,Delivered,No,3.3,1445.68,23.43,24.46,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,31,Female,Pakistan,Mumbai,New,Fashion,Bags,Zenith,39.8,4,0,0,Yes,10.41,7.48,177.09,Wallet,Mobile,Direct,Silver,Standard,West,7,Returned,Yes,2.3,2129.34,18.43,32.64,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,40,Male,United Kingdom,London,Loyal,Toys,Board Games,Apex,34.55,3,0,0,No,6.1,5.44,115.19,Cash on Delivery,Mobile,Direct,Gold,Standard,East,4,Delivered,No,3.3,1412.78,24.05,27.7,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,31,Female,United States,Dubai,Returning,Toys,Puzzles,Apex,57.94,2,0,0,No,15.09,4.5,135.47,PayPal,Mobile,Direct,Standard,Express,South,3,Delivered,No,4.9,20,31.47,42.63,Spring,No,No,No
2024-05-20,2024,5,20,Monday,2,29,Male,UAE,Toronto,Returning,Books,Fiction,EcoLife,34.7,3,0,0,No,9.99,4.13,118.22,Debit Card,Desktop,Social Media,Standard,Standard,East,3,Delivered,No,3.3,1799.77,30.31,35.83,Spring,No,No,No
2024-05-21,2024,5,21,Tuesday,2,32,Male,Saudi Arabia,Riyadh,Returning,Groceries,Beverages,FreshMart,16.69,6,15,15.02,Yes,7.41,9.27,101.8,Debit Card,Desktop,Organic Search,Platinum,Standard,West,5,Delivered,No,4.8,1529.64,30.82,31.37,Spring,No,No,No
2024-05-21,2024,5,21,Tuesday,2,59,Female,India,Sydney,Returning,Books,Comics,EcoLife,27.36,3,15,12.31,Yes,10.39,2.98,83.14,Credit Card,Desktop,Referral,Silver,Standard,Central,5,Returned,Yes,3.9,1608.49,26.68,22.18,Spring,No,No,No
2024-05-21,2024,5,21,Tuesday,2,18,Male,UAE,Dubai,Loyal,Electronics,Accessories,ValueMax,541.44,3,20,324.86,Yes,9.92,69.33,1378.71,Credit Card,Desktop,Email,Standard,Standard,West,7,Processing,No,3.9,17208.8,11.51,158.69,Spring,No,Yes,Yes
2024-05-22,2024,5,22,Wednesday,2,39,Female,UAE,Toronto,Returning,Fashion,Shoes,Trendify,30.72,3,0,0,No,13,4.58,109.74,Bank Transfer,Mobile,Organic Search,Standard,Express,South,4,Delivered,No,3.7,816.29,17.46,19.16,Spring,No,No,No
2024-05-22,2024,5,22,Wednesday,2,36,Male,Saudi Arabia,Paris,Returning,Fashion,Bags,FreshMart,76.66,2,15,23,Yes,6.8,14.32,151.44,Debit Card,Mobile,Organic Search,Gold,Standard,East,9,Delivered,No,4,937.05,17.35,26.27,Spring,No,No,No
2024-05-22,2024,5,22,Wednesday,2,28,Female,Germany,Mumbai,New,Electronics,Laptop,Apex,314.36,3,30,282.92,Yes,16.74,67.15,744.05,Bank Transfer,Mobile,Direct,Silver,Express,East,3,Delivered,No,3.6,7188.32,10.36,77.08,Spring,No,Yes,Yes
2024-05-22,2024,5,22,Wednesday,2,36,Female,United Kingdom,Paris,Returning,Toys,Educational,FreshMart,43.65,2,20,17.46,Yes,6.17,3.45,79.46,Wallet,Mobile,Email,Standard,Standard,Central,5,Delivered,No,3.7,801.17,24.15,19.19,Spring,No,No,No
2024-05-23,2024,5,23,Thursday,2,34,Female,UAE,Paris,Premium,Fashion,Men Clothing,Apex,50.99,5,25,63.74,Yes,10.92,28.86,230.99,Wallet,Mobile,Paid Ads,Standard,Standard,East,7,Returned,Yes,2.8,2777.71,35.55,82.12,Spring,No,No,No
2024-05-23,2024,5,23,Thursday,2,39,Male,Australia,Paris,Returning,Electronics,Accessories,Apex,261.08,3,15,117.49,Yes,7.17,39.31,712.23,Debit Card,Mobile,Referral,Standard,Standard,West,6,Delivered,No,5,11174.9,20.72,147.57,Spring,No,Yes,Yes
2024-05-23,2024,5,23,Thursday,2,37,Male,Saudi Arabia,Toronto,New,Fashion,Women Clothing,EcoLife,35.61,6,10,21.37,Yes,19.45,15.02,226.76,Debit Card,Mobile,Referral,Standard,Express,South,4,Delivered,No,4.2,3175.69,29.95,67.91,Spring,No,No,No
2024-05-23,2024,5,23,Thursday,2,33,Female,France,Mumbai,Loyal,Fashion,Bags,Apex,61.77,3,15,27.8,Yes,13.2,8.59,179.3,Credit Card,Mobile,Organic Search,Silver,Express,East,2,Delivered,No,4.7,3576.04,16.58,29.73,Spring,No,No,No
2024-05-23,2024,5,23,Thursday,2,49,Female,India,Paris,Premium,Electronics,Accessories,ValueMax,532.79,1,10,53.28,Yes,0.07,24.47,504.05,Cash on Delivery,Desktop,Email,Platinum,Standard,West,9,Processing,No,4.3,7449.55,30.74,154.94,Spring,No,Yes,Yes
2024-05-24,2024,5,24,Friday,2,42,Female,India,Mumbai,New,Sports,Equipment,Trendify,59.47,2,15,17.84,Yes,6.09,9.76,116.95,Wallet,Mobile,Referral,Silver,Standard,Central,4,Delivered,No,3.2,1692.57,15.31,17.91,Spring,Yes,No,No
2024-05-24,2024,5,24,Friday,2,31,Male,Canada,Paris,New,Groceries,Fresh Produce,Zenith,18.62,5,0,0,No,9.88,3.81,106.79,Cash on Delivery,Mobile,Social Media,Standard,Standard,South,4,Delivered,No,3.6,1114.47,16.07,17.16,Spring,No,No,No
2024-05-24,2024,5,24,Friday,2,24,Other,Germany,New York,Returning,Electronics,Laptop,QuickCart,551.46,5,0,0,No,7.55,124.82,2889.67,Bank Transfer,Mobile,Email,Standard,Standard,West,3,Returned,Yes,3.6,13432.61,29.86,862.86,Spring,No,Yes,Yes
2024-05-24,2024,5,24,Friday,2,39,Male,Pakistan,Sydney,New,Sports,Sportswear,EcoLife,138.34,2,0,0,Yes,6.35,27.71,310.74,Bank Transfer,Mobile,Social Media,Standard,Standard,Central,6,Delivered,No,4.5,3393.33,32.57,101.21,Spring,No,No,No
2024-05-24,2024,5,24,Friday,2,50,Male,UAE,Mumbai,Returning,Groceries,Dairy,EcoLife,13.71,2,0,0,No,13.09,2.13,42.64,Debit Card,Tablet,Direct,Standard,Express,South,3,Returned,Yes,3.2,391.29,31.06,13.24,Spring,No,No,No
2024-05-24,2024,5,24,Friday,2,32,Female,UAE,Mumbai,Loyal,Electronics,Mobile,Trendify,511.94,2,10,102.39,Yes,2.1,76.55,1000.14,Bank Transfer,Mobile,Direct,Gold,Standard,South,5,Shipped,No,3.3,12851.84,20.4,204.03,Spring,No,Yes,Yes
2024-05-24,2024,5,24,Friday,2,33,Female,United States,Sydney,Loyal,Fashion,Women Clothing,QuickCart,85.52,5,0,0,No,13.56,47.4,488.56,PayPal,Mobile,Direct,Standard,Pickup,Central,9,Delivered,No,3.2,9384.47,15.17,74.11,Spring,No,Yes,No
2024-05-24,2024,5,24,Friday,2,34,Male,Pakistan,Mumbai,Returning,Home & Kitchen,Furniture,FreshMart,82.02,3,10,24.61,Yes,9.11,27.06,257.62,Cash on Delivery,Mobile,Organic Search,Standard,Standard,West,10,Returned,Yes,2.4,4362.19,23.38,60.23,Spring,No,No,No
2024-05-24,2024,5,24,Friday,2,18,Male,Canada,Dubai,New,Groceries,Fresh Produce,EcoLife,19.72,2,25,9.86,Yes,9.12,4.45,43.15,Bank Transfer,Desktop,Email,Standard,Pickup,West,2,Delivered,No,4.4,692.8,16.85,7.27,Spring,No,No,No
2024-05-25,2024,5,25,Saturday,2,46,Female,Australia,Karachi,New,Books,Education,Apex,21.44,1,5,1.07,No,12.9,2.26,35.53,Credit Card,Mobile,Direct,Gold,Express,South,0,Processing,No,5,522.35,23.4,8.31,Spring,No,No,No
2024-05-25,2024,5,25,Saturday,2,40,Female,United Kingdom,New York,Returning,Fashion,Bags,PrimePlus,56.82,2,0,0,No,12.78,9.02,135.44,Debit Card,Mobile,Paid Ads,Standard,Express,Central,0,Processing,No,5,2412.1,22.03,29.84,Spring,No,No,No
2024-05-25,2024,5,25,Saturday,2,30,Male,United States,Toronto,Returning,Electronics,Headphones,Zenith,290.31,4,20,232.25,Yes,8.47,71.73,1009.19,Bank Transfer,Mobile,Referral,Silver,Standard,South,8,Delivered,No,4.4,12498.79,11.65,117.57,Spring,No,Yes,Yes
2024-05-25,2024,5,25,Saturday,2,36,Male,United States,Dubai,Loyal,Electronics,Accessories,Zenith,769.67,1,5,38.48,No,10.66,69.43,811.28,PayPal,Mobile,Social Media,Silver,Express,East,5,Delivered,No,4.6,15079.04,19.57,158.77,Spring,No,Yes,Yes
