returned,customer_gender,country,customer_segment,product_category,product_subcategory,brand,payment_method,device_type,traffic_source,membership_status,shipping_method,warehouse_region,season,holiday_season,day_of_week,quarter,customer_age,unit_price,quantity,discount_percent,discount_amount,shipping_cost,tax_amount,order_amount,delivery_days,review_rating,customer_lifetime_value,profit_margin_percent,profit_amount,high_value_order,order_year,order_month,order_day,order_dow
0,male,france,returning,groceries,snacks,apex,paypal,tablet,paid ads,silver,pickup,central,winter,no,Sunday,1.0,41.0,43.8,2.0,15.0,13.14,5.88,4.65,84.99,3.0,4.1,1406.5,13.13,11.16,0.0,2023.0,1.0,1.0,1.0
0,male,united kingdom,premium,electronics,laptop,ecolife,cash on delivery,desktop,referral,platinum,express,east,winter,no,Sunday,1.0,32.0,684.02,2.0,15.0,205.21,8.48,105.78,1277.09,2.0,5.0,25972.2,23.93,305.61,1.0,2023.0,1.0,1.0,1.0
0,female,pakistan,loyal,beauty,skincare,zenith,debit card,mobile,organic search,standard,standard,west,winter,no,Sunday,1.0,20.0,40.73,4.0,0.0,0.0,8.53,15.05,186.5,8.0,3.6,4388.39,36.42,67.92,0.0,2023.0,1.0,1.0,1.0
0,male,germany,new,fashion,women clothing,zenith,bank transfer,mobile,paid ads,standard,standard,north,winter,no,Sunday,1.0,26.0,87.52,3.0,15.0,39.38,8.16,13.2,244.54,6.0,4.0,3743.62,15.21,37.19,0.0,2023.0,1.0,1.0,1.0
0,female,australia,returning,sports,sportswear,ecolife,debit card,mobile,direct,gold,express,south,winter,no,Sunday,1.0,18.0,76.08,3.0,15.0,34.24,14.14,20.48,228.62,4.0,3.6,1463.85,24.76,56.61,0.0,2023.0,1.0,1.0,1.0
0,male,pakistan,returning,groceries,snacks,zenith,cash on delivery,desktop,referral,silver,pickup,central,winter,no,Sunday,1.0,23.0,32.58,5.0,35.0,57.01,7.17,18.78,131.84,5.0,3.8,1039.31,20.74,27.34,0.0,2023.0,1.0,1.0,1.0
1,male,united kingdom,loyal,electronics,accessories,trendify,debit card,desktop,organic search,gold,standard,central,winter,yes,Sunday,1.0,29.0,573.1,4.0,20.0,458.48,5.24,176.25,2015.41,3.0,3.1,17085.06,8.13,163.85,1.0,2023.0,1.0,1.0,1.0
0,male,saudi arabia,new,books,comics,valuemax,bank transfer,mobile,email,standard,standard,north,winter,no,Sunday,1.0,28.0,17.48,4.0,25.0,17.48,9.64,7.43,69.51,10.0,3.6,1045.51,20.21,14.05,0.0,2023.0,1.0,1.0,1.0
0,male,united kingdom,loyal,home & kitchen,decor,apex,credit card,desktop,social media,standard,standard,central,winter,no,Sunday,1.0,46.0,100.89,2.0,5.0,10.09,1.78,15.6,209.07,7.0,3.7,4032.9,41.91,87.62,0.0,2023.0,1.0,1.0,1.0
0,male,united kingdom,loyal,electronics,accessories,urbanco,debit card,mobile,email,silver,express,south,winter,no,Sunday,1.0,27.0,374.86,3.0,0.0,0.0,16.87,80.54,1221.99,5.0,4.4,10724.99,21.51,262.85,1.0,2023.0,1.0,1.0,1.0
0,male,united states,loyal,electronics,headphones,freshmart,debit card,tablet,email,standard,standard,west,winter,no,Sunday,1.0,31.0,395.19,4.0,15.0,237.11,7.86,136.36,1487.87,5.0,4.3,4086.69,15.99,237.91,1.0,2023.0,1.0,1.0,1.0
0,female,germany,returning,sports,fitness,trendify,wallet,mobile,direct,standard,express,central,winter,no,Sunday,1.0,24.0,134.73,1.0,20.0,26.95,10.17,8.44,126.39,9.0,4.6,2279.79,17.02,21.51,0.0,2023.0,1.0,1.0,1.0
0,female,uae,returning,electronics,laptop,primeplus,bank transfer,mobile,paid ads,gold,same day,west,winter,no,Sunday,1.0,23.0,249.63,4.0,25.0,249.63,21.4,104.22,874.51,0.0,5.0,8860.04,12.26,107.21,1.0,2023.0,1.0,1.0,1.0
0,male,uae,returning,groceries,beverages,apex,paypal,desktop,email,standard,pickup,north,winter,no,Sunday,1.0,28.0,10.85,1.0,10.0,1.08,5.37,0.46,15.6,4.0,3.8,262.62,22.5,3.51,0.0,2023.0,1.0,1.0,1.0
0,male,pakistan,new,electronics,mobile,nova,debit card,mobile,social media,standard,standard,central,winter,no,Monday,1.0,24.0,330.33,1.0,20.0,66.07,4.1,10.58,278.94,5.0,5.0,3885.53,6.58,18.35,0.0,2023.0,1.0,2.0,2.0
0,female,united states,premium,books,education,ecolife,wallet,mobile,paid ads,standard,standard,south,winter,no,Monday,1.0,36.0,23.1,4.0,15.0,13.86,8.5,5.92,92.96,6.0,4.2,2510.45,17.41,16.18,0.0,2023.0,1.0,2.0,2.0
0,female,germany,loyal,toys,action figures,apex,cash on delivery,mobile,social media,gold,standard,south,winter,no,Monday,1.0,34.0,26.6,2.0,30.0,15.96,5.31,3.39,45.94,6.0,4.8,1169.7,18.68,8.58,0.0,2023.0,1.0,2.0,2.0
0,male,france,premium,electronics,accessories,valuemax,cash on delivery,mobile,organic search,silver,standard,east,winter,no,Monday,1.0,45.0,255.96,1.0,20.0,51.19,2.14,13.86,220.77,5.0,4.1,2099.38,23.63,52.17,0.0,2023.0,1.0,2.0,2.0
0,female,germany,new,home & kitchen,decor,nova,cash on delivery,desktop,social media,standard,standard,south,winter,no,Monday,1.0,27.0,114.37,7.0,0.0,0.0,10.13,67.9,878.62,1.0,4.8,4403.89,36.52,320.87,1.0,2023.0,1.0,2.0,2.0
0,female,india,returning,books,education,trendify,debit card,mobile,social media,standard,standard,central,winter,no,Monday,1.0,31.0,11.84,1.0,10.0,1.18,7.21,1.24,19.11,6.0,5.0,723.15,23.13,4.42,0.0,2023.0,1.0,2.0,2.0
0,male,germany,loyal,home & kitchen,decor,urbanco,credit card,mobile,paid ads,standard,same day,south,winter,yes,Monday,1.0,39.0,111.98,2.0,0.0,0.0,24.31,17.63,265.9,0.0,5.0,3573.42,25.97,69.05,0.0,2023.0,1.0,2.0,2.0
0,male,france,returning,electronics,laptop,quickcart,credit card,mobile,paid ads,standard,express,south,winter,no,Monday,1.0,43.0,459.5,6.0,20.0,551.4,19.88,121.88,2347.36,1.0,4.4,33271.15,20.14,472.76,1.0,2023.0,1.0,2.0,2.0
0,male,australia,loyal,electronics,laptop,freshmart,bank transfer,mobile,organic search,silver,express,north,winter,yes,Monday,1.0,44.0,285.7,3.0,5.0,42.86,14.33,94.74,923.31,5.0,4.5,13052.19,28.68,264.81,1.0,2023.0,1.0,2.0,2.0
0,male,india,returning,fashion,bags,trendify,paypal,mobile,direct,standard,standard,central,winter,no,Monday,1.0,24.0,43.02,1.0,10.0,4.3,4.27,2.82,45.81,5.0,4.1,456.79,18.63,8.53,0.0,2023.0,1.0,2.0,2.0
0,female,india,returning,beauty,haircare,quickcart,bank transfer,mobile,organic search,gold,same day,north,winter,no,Monday,1.0,46.0,40.78,2.0,10.0,8.16,14.84,4.79,93.03,1.0,3.6,1188.87,17.54,16.32,0.0,2023.0,1.0,2.0,2.0
0,male,france,new,fashion,shoes,urbanco,credit card,mobile,direct,standard,standard,central,winter,no,Monday,1.0,39.0,54.85,4.0,5.0,10.97,7.78,24.12,240.33,6.0,5.0,1445.29,24.42,58.69,0.0,2023.0,1.0,2.0,2.0
0,female,australia,returning,groceries,dairy,zenith,bank transfer,mobile,referral,standard,pickup,west,winter,no,Monday,1.0,19.0,22.47,3.0,0.0,0.0,7.67,5.1,80.18,8.0,4.3,1098.77,25.93,20.79,0.0,2023.0,1.0,2.0,2.0
0,female,canada,new,fashion,bags,freshmart,debit card,mobile,social media,silver,standard,central,winter,no,Monday,1.0,34.0,119.45,3.0,0.0,0.0,8.1,27.89,394.34,6.0,4.0,4681.72,26.54,104.66,1.0,2023.0,1.0,2.0,2.0
0,female,uae,loyal,groceries,dairy,apex,wallet,desktop,direct,gold,standard,east,winter,no,Monday,1.0,44.0,29.75,1.0,15.0,4.46,2.24,1.8,29.33,3.0,4.9,1148.32,20.78,6.09,0.0,2023.0,1.0,2.0,2.0
1,female,canada,returning,home & kitchen,furniture,trendify,bank transfer,mobile,organic search,silver,express,central,winter,no,Monday,1.0,37.0,105.77,6.0,30.0,190.39,20.78,54.51,519.52,2.0,2.7,6819.12,16.31,84.73,1.0,2023.0,1.0,2.0,2.0
0,female,india,loyal,groceries,snacks,trendify,bank transfer,desktop,referral,silver,express,east,winter,no,Monday,1.0,20.0,22.29,3.0,40.0,26.75,15.71,4.71,60.54,6.0,5.0,780.74,11.05,6.69,0.0,2023.0,1.0,2.0,2.0
0,female,australia,new,fashion,women clothing,apex,cash on delivery,tablet,paid ads,standard,standard,west,winter,no,Monday,1.0,41.0,44.39,4.0,0.0,0.0,10.37,10.44,198.37,3.0,4.7,804.01,26.29,52.15,0.0,2023.0,1.0,2.0,2.0
0,female,united kingdom,returning,fashion,men clothing,zenith,bank transfer,mobile,direct,standard,standard,east,winter,no,Monday,1.0,29.0,121.42,4.0,5.0,24.28,8.06,45.69,515.15,7.0,4.2,8547.5,17.54,90.36,1.0,2023.0,1.0,2.0,2.0
0,female,uae,new,electronics,laptop,freshmart,paypal,desktop,organic search,gold,standard,west,winter,no,Monday,1.0,30.0,473.27,2.0,0.0,0.0,2.45,62.78,1011.77,6.0,5.0,12890.29,24.31,245.96,1.0,2023.0,1.0,2.0,2.0
0,male,uae,new,home & kitchen,cookware,nova,wallet,desktop,referral,standard,standard,north,winter,no,Tuesday,1.0,46.0,158.42,4.0,0.0,0.0,11.76,53.2,698.64,6.0,4.0,7377.74,27.84,194.5,1.0,2023.0,1.0,3.0,3.0
0,male,france,new,groceries,dairy,primeplus,cash on delivery,desktop,paid ads,standard,same day,west,winter,no,Tuesday,1.0,35.0,25.3,5.0,15.0,18.98,22.35,6.59,136.46,2.0,4.6,2824.8,27.99,38.2,0.0,2023.0,1.0,3.0,3.0
0,male,uae,new,fashion,men clothing,trendify,paypal,mobile,direct,standard,standard,north,winter,no,Tuesday,1.0,25.0,152.96,4.0,35.0,214.14,8.24,34.44,440.38,2.0,4.6,1091.77,19.65,86.53,1.0,2023.0,1.0,3.0,3.0
0,female,france,returning,books,non-fiction,zenith,cash on delivery,mobile,paid ads,standard,same day,west,winter,no,Tuesday,1.0,48.0,29.65,4.0,0.0,0.0,22.94,12.6,154.14,0.0,4.7,2383.45,29.89,46.07,0.0,2023.0,1.0,3.0,3.0
0,female,united states,returning,fashion,shoes,valuemax,cash on delivery,desktop,social media,gold,standard,south,winter,yes,Tuesday,1.0,22.0,87.18,4.0,0.0,0.0,2.59,15.6,366.91,7.0,4.6,5794.9,31.46,115.43,0.0,2023.0,1.0,3.0,3.0
0,male,pakistan,returning,groceries,snacks,valuemax,debit card,mobile,organic search,gold,same day,west,winter,yes,Tuesday,1.0,39.0,30.93,2.0,25.0,15.46,21.11,7.01,74.52,0.0,4.0,1380.99,19.2,14.31,0.0,2023.0,1.0,3.0,3.0
0,male,uae,new,fashion,shoes,valuemax,wallet,desktop,email,standard,same day,south,winter,no,Tuesday,1.0,42.0,35.49,3.0,0.0,0.0,20.63,4.57,131.67,0.0,5.0,956.43,17.1,22.52,0.0,2023.0,1.0,3.0,3.0
0,female,united kingdom,new,sports,sportswear,quickcart,debit card,mobile,paid ads,gold,express,east,winter,no,Tuesday,1.0,27.0,99.51,1.0,0.0,0.0,13.93,7.61,121.05,0.0,4.9,379.97,12.9,15.62,0.0,2023.0,1.0,3.0,3.0
0,male,canada,returning,electronics,accessories,quickcart,cash on delivery,desktop,paid ads,platinum,standard,east,winter,no,Tuesday,1.0,48.0,329.8,3.0,25.0,247.35,0.27,94.72,837.04,6.0,4.5,14110.89,10.28,86.05,1.0,2023.0,1.0,3.0,3.0
0,female,australia,returning,toys,action figures,urbanco,cash on delivery,desktop,referral,standard,standard,south,winter,no,Tuesday,1.0,18.0,76.35,4.0,5.0,15.27,7.71,20.67,318.51,4.0,3.2,5106.15,17.28,55.04,0.0,2023.0,1.0,3.0,3.0
0,male,india,loyal,beauty,skincare,ecolife,wallet,desktop,organic search,standard,standard,north,winter,no,Tuesday,1.0,47.0,70.13,3.0,0.0,0.0,8.99,15.99,235.37,7.0,3.6,2712.55,36.31,85.46,0.0,2023.0,1.0,3.0,3.0
0,male,pakistan,new,fashion,men clothing,trendify,paypal,mobile,referral,silver,standard,east,winter,no,Tuesday,1.0,42.0,87.17,2.0,15.0,26.15,9.92,10.42,168.53,7.0,4.4,2246.47,28.39,47.85,0.0,2023.0,1.0,3.0,3.0
0,female,australia,new,groceries,beverages,ecolife,paypal,desktop,organic search,gold,express,south,winter,no,Tuesday,1.0,49.0,10.36,2.0,5.0,1.04,9.86,2.14,31.68,1.0,3.4,646.01,26.97,8.54,0.0,2023.0,1.0,3.0,3.0
0,female,uae,premium,groceries,dairy,apex,credit card,mobile,paid ads,silver,express,east,winter,no,Tuesday,1.0,35.0,20.6,2.0,35.0,14.42,13.99,2.92,43.69,0.0,4.1,1475.69,20.66,9.03,0.0,2023.0,1.0,3.0,3.0
0,male,france,returning,sports,sportswear,urbanco,paypal,mobile,social media,standard,express,east,winter,no,Tuesday,1.0,26.0,50.02,1.0,5.0,2.5,12.78,3.55,63.85,2.0,4.8,130.05,20.72,13.23,0.0,2023.0,1.0,3.0,3.0
0,female,united kingdom,new,groceries,fresh produce,nova,paypal,mobile,organic search,standard,standard,south,winter,no,Tuesday,1.0,27.0,48.23,2.0,15.0,14.47,6.51,7.35,95.85,8.0,5.0,1861.64,3.0,2.88,0.0,2023.0,1.0,3.0,3.0
0,male,germany,loyal,electronics,laptop,trendify,bank transfer,mobile,email,platinum,pickup,north,winter,no,Tuesday,1.0,37.0,214.16,6.0,10.0,128.5,6.72,116.04,1279.22,5.0,4.7,24780.33,23.73,303.56,1.0,2023.0,1.0,3.0,3.0
0,female,france,loyal,fashion,men clothing,zenith,debit card,mobile,email,standard,standard,south,winter,no,Tuesday,1.0,34.0,37.09,4.0,5.0,7.42,8.38,7.62,156.94,2.0,4.6,3685.89,31.13,48.86,0.0,2023.0,1.0,3.0,3.0
0,male,germany,loyal,home & kitchen,furniture,primeplus,debit card,mobile,social media,standard,pickup,east,winter,no,Tuesday,1.0,35.0,88.24,3.0,35.0,92.65,4.65,21.23,197.95,4.0,4.3,2135.67,9.57,18.94,0.0,2023.0,1.0,3.0,3.0
0,female,canada,new,home & kitchen,furniture,ecolife,credit card,desktop,organic search,standard,standard,central,winter,no,Tuesday,1.0,47.0,147.58,2.0,0.0,0.0,2.81,9.71,307.68,6.0,4.4,1157.12,24.57,75.6,0.0,2023.0,1.0,3.0,3.0
0,male,saudi arabia,premium,electronics,accessories,ecolife,bank transfer,mobile,email,standard,standard,central,winter,no,Tuesday,1.0,25.0,607.43,3.0,15.0,273.34,7.32,212.7,1768.97,8.0,4.1,25322.58,26.05,460.82,1.0,2023.0,1.0,3.0,3.0
0,other,australia,returning,electronics,laptop,ecolife,bank transfer,mobile,email,platinum,same day,south,winter,no,Tuesday,1.0,55.0,451.33,1.0,0.0,0.0,10.03,19.41,480.77,3.0,4.0,9551.6,22.26,107.02,1.0,2023.0,1.0,3.0,3.0
0,male,canada,returning,groceries,dairy,trendify,wallet,mobile,paid ads,platinum,standard,east,winter,no,Tuesday,1.0,23.0,36.55,4.0,35.0,51.17,1.41,5.23,101.67,8.0,4.1,1074.58,19.83,20.16,0.0,2023.0,1.0,3.0,3.0
0,female,canada,new,beauty,fragrance,zenith,credit card,desktop,referral,gold,standard,west,winter,no,Tuesday,1.0,35.0,43.67,1.0,5.0,2.18,4.11,3.15,48.75,5.0,3.3,717.82,12.8,6.24,0.0,2023.0,1.0,3.0,3.0
0,male,india,returning,electronics,mobile,valuemax,paypal,desktop,referral,gold,express,central,winter,no,Wednesday,1.0,44.0,406.78,5.0,10.0,203.39,17.02,77.25,1924.78,0.0,4.1,6578.18,15.37,295.84,1.0,2023.0,1.0,4.0,4.0
0,male,canada,premium,electronics,headphones,ecolife,wallet,desktop,direct,silver,standard,west,winter,no,Wednesday,1.0,49.0,378.3,4.0,0.0,0.0,7.36,70.18,1590.74,5.0,4.1,24496.03,14.0,222.7,1.0,2023.0,1.0,4.0,4.0
1,female,germany,returning,groceries,snacks,apex,credit card,mobile,referral,standard,express,west,winter,no,Wednesday,1.0,19.0,14.54,4.0,0.0,0.0,18.77,6.69,83.62,4.0,3.2,1002.93,29.48,24.65,0.0,2023.0,1.0,4.0,4.0
0,female,canada,returning,groceries,fresh produce,primeplus,wallet,desktop,referral,standard,express,south,winter,no,Wednesday,1.0,28.0,7.92,4.0,15.0,4.75,15.2,2.76,44.89,5.0,2.8,408.1,15.36,6.9,0.0,2023.0,1.0,4.0,4.0
0,male,saudi arabia,premium,home & kitchen,cookware,valuemax,wallet,mobile,social media,standard,same day,north,winter,no,Wednesday,1.0,30.0,154.75,4.0,10.0,61.9,22.8,52.01,631.91,1.0,5.0,13811.91,6.1,38.55,1.0,2023.0,1.0,4.0,4.0
0,male,saudi arabia,new,groceries,dairy,primeplus,credit card,mobile,email,standard,express,central,winter,no,Wednesday,1.0,24.0,20.13,1.0,5.0,1.01,14.34,1.32,34.78,2.0,4.0,176.65,35.23,12.25,0.0,2023.0,1.0,4.0,4.0
0,female,united kingdom,new,home & kitchen,appliances,primeplus,debit card,mobile,direct,gold,standard,central,winter,no,Wednesday,1.0,27.0,89.05,3.0,5.0,13.36,4.43,29.11,287.33,7.0,2.8,1109.79,3.0,8.62,0.0,2023.0,1.0,4.0,4.0
0,female,saudi arabia,loyal,sports,equipment,apex,wallet,mobile,paid ads,gold,same day,north,winter,no,Wednesday,1.0,37.0,80.13,3.0,10.0,24.04,17.61,11.71,245.67,4.0,4.5,2915.64,20.3,49.87,0.0,2023.0,1.0,4.0,4.0
0,female,france,premium,toys,board games,apex,debit card,desktop,organic search,gold,express,east,winter,no,Wednesday,1.0,19.0,34.18,1.0,0.0,0.0,10.51,2.8,47.49,5.0,4.6,1120.24,21.41,10.17,0.0,2023.0,1.0,4.0,4.0
0,male,germany,returning,groceries,beverages,quickcart,bank transfer,mobile,referral,standard,standard,south,winter,no,Wednesday,1.0,40.0,11.06,7.0,10.0,7.74,13.76,8.62,92.06,0.0,4.0,139.81,25.12,23.13,0.0,2023.0,1.0,4.0,4.0
0,female,united states,loyal,books,fiction,zenith,wallet,mobile,referral,gold,standard,central,winter,no,Wednesday,1.0,49.0,25.7,4.0,20.0,20.56,3.98,10.88,97.1,3.0,4.1,2176.0,23.76,23.07,0.0,2023.0,1.0,4.0,4.0
0,male,uae,returning,home & kitchen,decor,urbanco,paypal,desktop,organic search,gold,express,north,winter,no,Wednesday,1.0,26.0,133.85,3.0,5.0,20.08,10.09,18.76,410.32,5.0,3.7,1074.81,28.05,115.09,1.0,2023.0,1.0,4.0,4.0
1,female,germany,returning,home & kitchen,decor,urbanco,bank transfer,mobile,email,standard,express,south,winter,no,Wednesday,1.0,46.0,68.17,1.0,20.0,13.63,15.67,5.53,75.74,3.0,3.1,559.87,22.54,17.07,0.0,2023.0,1.0,4.0,4.0
1,male,australia,loyal,sports,sportswear,apex,credit card,mobile,paid ads,gold,standard,south,winter,no,Wednesday,1.0,38.0,72.94,3.0,0.0,0.0,4.71,10.43,233.96,6.0,3.0,1185.95,17.31,40.5,0.0,2023.0,1.0,4.0,4.0
0,female,canada,premium,fashion,women clothing,freshmart,credit card,mobile,organic search,standard,same day,east,winter,no,Wednesday,1.0,46.0,78.28,3.0,5.0,11.74,21.65,19.34,264.09,0.0,4.3,6229.45,22.88,60.42,0.0,2023.0,1.0,4.0,4.0
0,male,united states,returning,fashion,men clothing,nova,debit card,mobile,social media,gold,standard,south,winter,no,Wednesday,1.0,24.0,38.74,2.0,10.0,7.75,2.91,5.82,78.46,3.0,3.9,1012.26,25.36,19.9,0.0,2023.0,1.0,4.0,4.0
1,male,germany,returning,toys,action figures,valuemax,cash on delivery,mobile,email,standard,standard,central,winter,no,Wednesday,1.0,42.0,48.12,4.0,40.0,76.99,9.25,22.68,147.42,4.0,4.1,2647.94,4.48,6.6,0.0,2023.0,1.0,4.0,4.0
0,female,saudi arabia,new,groceries,dairy,quickcart,paypal,mobile,social media,standard,pickup,central,winter,no,Wednesday,1.0,27.0,16.61,2.0,5.0,1.66,5.93,3.46,40.95,2.0,4.8,197.29,16.68,6.83,0.0,2023.0,1.0,4.0,4.0
0,female,australia,returning,groceries,beverages,trendify,paypal,desktop,paid ads,silver,express,west,winter,no,Wednesday,1.0,51.0,15.48,2.0,0.0,0.0,15.19,1.21,47.36,2.0,3.5,729.81,23.57,11.16,0.0,2023.0,1.0,4.0,4.0
0,male,germany,loyal,home & kitchen,appliances,nova,credit card,desktop,social media,standard,standard,west,winter,no,Wednesday,1.0,18.0,44.88,2.0,20.0,17.95,5.33,2.8,79.94,4.0,3.3,1612.47,23.75,18.99,0.0,2023.0,1.0,4.0,4.0
1,male,united states,loyal,electronics,laptop,trendify,cash on delivery,mobile,social media,silver,standard,east,winter,no,Wednesday,1.0,27.0,354.81,4.0,10.0,141.92,8.28,164.06,1449.66,1.0,2.9,9791.69,21.55,312.4,1.0,2023.0,1.0,4.0,4.0
0,female,uae,premium,fashion,shoes,primeplus,wallet,mobile,paid ads,standard,express,south,winter,no,Wednesday,1.0,22.0,78.49,1.0,5.0,3.92,13.33,3.1,91.0,1.0,4.4,2502.72,36.36,33.09,0.0,2023.0,1.0,4.0,4.0
0,male,united states,returning,groceries,fresh produce,ecolife,bank transfer,desktop,email,standard,standard,north,winter,no,Wednesday,1.0,48.0,16.87,4.0,30.0,20.24,4.42,7.28,58.94,5.0,4.0,389.9,16.02,9.44,0.0,2023.0,1.0,4.0,4.0
0,female,canada,new,fashion,men clothing,ecolife,bank transfer,mobile,paid ads,standard,standard,east,winter,no,Wednesday,1.0,39.0,108.06,3.0,30.0,97.25,6.41,28.82,262.16,3.0,3.4,4228.19,22.73,59.59,0.0,2023.0,1.0,4.0,4.0
0,male,saudi arabia,loyal,groceries,fresh produce,urbanco,wallet,mobile,direct,standard,standard,west,winter,no,Wednesday,1.0,44.0,32.82,4.0,10.0,13.13,14.18,11.1,143.43,7.0,2.9,1151.76,33.41,47.92,0.0,2023.0,1.0,4.0,4.0
0,female,france,new,fashion,men clothing,trendify,bank transfer,mobile,social media,silver,standard,south,winter,no,Wednesday,1.0,39.0,70.2,3.0,20.0,42.12,7.12,9.7,185.3,7.0,4.0,1686.35,29.47,54.61,0.0,2023.0,1.0,4.0,4.0
0,female,india,new,sports,fitness,quickcart,debit card,desktop,email,standard,same day,central,winter,no,Thursday,1.0,30.0,118.4,3.0,5.0,17.76,23.75,24.93,386.12,3.0,4.5,5760.27,32.31,124.76,0.0,2023.0,1.0,5.0,5.0
0,female,united states,new,sports,fitness,nova,cash on delivery,mobile,paid ads,standard,standard,central,winter,no,Thursday,1.0,34.0,138.72,4.0,20.0,110.98,13.69,27.09,484.68,6.0,3.2,3679.36,26.74,129.6,1.0,2023.0,1.0,5.0,5.0
0,male,united states,returning,electronics,mobile,trendify,bank transfer,mobile,email,gold,standard,north,winter,no,Thursday,1.0,39.0,506.43,3.0,5.0,75.96,2.02,171.94,1617.29,7.0,4.3,14139.25,20.03,323.94,1.0,2023.0,1.0,5.0,5.0
1,female,united states,new,groceries,fresh produce,zenith,wallet,mobile,social media,standard,express,south,winter,no,Thursday,1.0,45.0,9.24,2.0,30.0,5.54,13.9,1.97,28.81,2.0,2.2,446.71,18.35,5.29,0.0,2023.0,1.0,5.0,5.0
0,female,germany,returning,books,comics,ecolife,cash on delivery,mobile,organic search,gold,standard,central,winter,no,Thursday,1.0,27.0,29.64,4.0,20.0,23.71,8.27,6.9,110.02,3.0,3.3,1588.81,15.81,17.39,0.0,2023.0,1.0,5.0,5.0
0,male,saudi arabia,returning,fashion,shoes,apex,credit card,desktop,organic search,platinum,express,south,winter,no,Thursday,1.0,20.0,74.48,3.0,30.0,67.03,12.89,13.96,183.26,4.0,3.7,1758.8,13.04,23.9,0.0,2023.0,1.0,5.0,5.0
